"full_state","district","total_pop","agr_pop","agr_pop_perc","state","st_dist","last_name","thomas_id","id","k55","k60","k65","k70","k85","agr_speeches","agr_per_dummy"
"Alabama","1",696783,5946,0.00853350325711161,"AL","AL-1","Bonner","1703","B001244",0,0,0,0,0,0,"low"
"Alabama","1",696783,5946,0.00853350325711161,"AL","AL-1","Byrne","2197","B001289",NA,NA,NA,NA,NA,NA,"low"
"Alabama","2",678622,6957,0.0102516570344021,"AL","AL-2","Roby","1986","R000591",0.125,0,0,0,0,0.031,"low"
"Alabama","3",706574,4000,0.00566111971286801,"AL","AL-3","Rogers","1704","R000575",0,0,0,0,0,0,"low"
"Alabama","4",683372,5364,0.00784931194137307,"AL","AL-4","Aderholt","1460","A000055",0,0,0,0,0,0,"low"
"Alabama","5",706373,3205,0.00453726289085228,"AL","AL-5","Brooks","1987","B001274",0,0,0,0,0,0,"low"
"Alabama","6",696788,3202,0.00459537190651963,"AL","AL-6","Bachus","38","B000013",0,0,0,0,0.333333333333333,0,"low"
"Alabama","7",680865,4183,0.00614365549705154,"AL","AL-7","Sewell","1988","S001185",0.0975609756097561,0,0,0,0,0.024,"low"
"Alaska","1",736732,19628,0.0266419810731718,"AK","AK-at_large","Young","1256","Y000033",0.142857142857143,0,0,0,0,0.036,"low"
"Arizona","1",739373,12614,0.0170604011777547,"AZ","AZ-1","Kirkpatrick","1907","K000368",0,0,0,0,0,0,"low"
"Arizona","2",713036,4468,0.00626616327927342,"AZ","AZ-2","Barber","2093","B001279",0,0,0,0,0,0,"low"
"Arizona","3",757119,12149,0.0160463546681565,"AZ","AZ-3","Grijalva","1708","G000551",0,0,0,0.1,0,0.025,"low"
"Arizona","4",734258,8537,0.0116267034203236,"AZ","AZ-4","Gosar","1992","G000565",0.032258064516129,0.0645161290322581,0,0,0,0.024,"low"
"Arizona","5",781441,2954,0.00378019581772648,"AZ","AZ-5","Salmon","1009","S000018",0,0,0,0.0833333333333333,0,0.021,"low"
"Arizona","6",737185,1912,0.00259365016922482,"AZ","AZ-6","Schweikert","1994","S001183",0.166666666666667,0,0,0,0,0.042,"low"
"Arizona","7",763089,3632,0.00475960209097497,"AZ","AZ-7","Pastor","893","P000099",0,0.375,0,0,0,0.094,"low"
"Arizona","8",760904,978,0.00128531325896565,"AZ","AZ-8","Franks","1707","F000448",NA,NA,NA,NA,NA,NA,"low"
"Arizona","9",745079,1217,0.00163338384251871,"AZ","AZ-9","Sinema","2099","S001191",0,0.0434782608695652,0,0.0434782608695652,0,0.022,"low"
"Arkansas","1",723492,14803,0.0204604888512934,"AR","AR-1","Crawford","1989","C001087",0.125,0,0,0.125,0,0.062,"low"
"Arkansas","2",756326,7730,0.0102204604892599,"AR","AR-2","Griffin","1990","G000567",0,0,0,0,0,0,"low"
"Arkansas","3",767904,4631,0.00603070175438596,"AR","AR-3","Womack","1991","W000809",0.125,0,0,0,0.125,0.031,"low"
"Arkansas","4",718647,14983,0.0208489007816077,"AR","AR-4","Cotton","2098","C001095",0,0,0,0,0,0,"low"
"California","1",710428,9558,0.0134538616158147,"CA","CA-1","LaMalfa","2100","L000578",0,0,0,0.0333333333333333,0,0.008,"low"
"California","2",720049,9004,0.012504704540941,"CA","CA-2","Huffman","2101","H001068",0.111111111111111,0,0,0.037037037037037,0,0.037,"low"
"California","3",720104,17053,0.0236813015897704,"CA","CA-3","Garamendi","1973","G000559",0.0888888888888889,0,0,0,0,0.022,"low"
"California","4",719688,4384,0.0060915285512611,"CA","CA-4","McClintock","1908","M001177",0.0526315789473684,0,0,0,0,0.013,"low"
"California","5",722814,8712,0.0120528932754485,"CA","CA-5","Thompson","1593","T000460",0,0,0,0.0273972602739726,0,0.007,"low"
