keywords,cluster,issue
"['us' 'veteran', 'award', 'marin', 'john', 'women', 'dr', 'children', 'ms', 'indiana', 'north', 'new', 'fire', 'state']",0,Melting Pot
"['health', 'care', 'medic', 'hospit', 'center', 'servic', 'patient', 'provid', 'nurs', 'physician', 'clinic', 'access', 'healthcar', 'insur', 'mental']",1,Healthcare
"['busi', 'commun', 'forti', 'leader', 'iowa', 'record', 'great', 'mr', 'state', 'honore', 'de', 'career', 'year', 'class', 'moin']",2,Congrats
"['school', 'student', 'high', 'educ', 'teacher', 'nation', 'district', 'young', 'mr', 'princip', 'ms', 'elementari', 'colleg', 'recogn', 'program']",3,Education
"['church', 'pastor', 'baptist', 'reverend', 'commun', 'serv', 'congreg', 'year', 'rev', 'st', 'ministri', 'member', 'faith', 'christian', 'first']",4,Religion
"['govern', 'american', 'freedom', 'citizen', 'mr', 'constitut', 'today', 'right', 'liberti', 'polit', 'individu', 'democraci', 'support', 'religi', 'countri']",5,Government
"['famili', 'life', 'love', 'friend', 'wife', 'pass', 'mr', 'grandchildren', 'children', 'commun', 'great', 'year', 'school', 'son', 'honor']",6,Family
"['bill', 'support', 'legisl', 'act', 'r', 'h', 'mr', 'would', 'congress', 'colleagu', 'today', 'hous', 'vote', 'committe', 'fund']",7,Congress
"['award', 'work', 'dedic', 'hard', 'youth', 'receiv', 'ridg', 'servic', 'ambassador', 'wheat', 'arvada', 'applaud', 'extend', 'congratul', 'charact']",8,Congrats
"['scout', 'eagl', 'rank', 'boy', 'project', 'achiev', 'mr', 'earn', 'award', 'work', 'space', 'girl', 'congratul', 'commun', 'well']",9,Congrats
"['servic', 'armi', 'medal', 'air', 'serv', 'unit', 'militari', 'forc', 'command', 'colonel', 'state', 'nation', 'marin', 'offic', 'corp']",10,Defense
"['iowa', 'hero', 'red', 'american', 'cross', 'mr', 'help', 'tom', 'serv', 'state', 'heartland', 'year', 'indian', 'greater', 'great']",11,Congrats
"['team', 'coach', 'state', 'championship', 'school', 'high', 'win', 'athlet', 'game', 'season', 'congratul', 'footbal', 'basketbal', 'titl', 'year']",12,Congrats
"['william', 'john', 'david', 'robert', 'jame', 'daniel', 'davi', 'jone', 'virginia', 'rabbi', 'smith', 'volunt', 'jack', 'honor', 'princ']",13,Unclear
"['art', 'music', 'perform', 'mr', 'band', 'artist', 'news', 'show', 'festiv', 'arizona', 'mani', 'honor', 'cultur', 'talent', 'award']",14,Arts
"['mr', 'mississippi', 'mrs', 'jackson', 'school', 'ask', 'black', 'join', 'state', 'african', 'commun', 'colleagu', 'jone', 'honor', 'high']",15,Unclear
"['women', 'ms', 'woman', 'work', 'equal', 'girl', 'men', 'lo', 'angel', 'honor', 'make', 'histori', 'nation', 'lgbt', 'toni']",16,Gender
"['servic', 'mr', 'year', 'retir', 'work', 'career', 'serv', 'chief', 'offic', 'dedic', 'public', 'wish', 'director', 'manag', 'posit']",17,Law Enforcement
"['veteran', 'war', 'mr', 'servic', 'honor', 'nation', 'serv', 'militari', 'countri', 'american', 'today', 'world', 'men', 'memori', 'women']",18,Defense
"[ 'peopl', 'make', 'get', 'want', 'would', 'one', 'said', 'work', 'say', 'know', 'year', 'american', 'time']",19,Unclear
"['texa', 'mrs', 'john', 'district', 'fort', 'north', 'behalf', 'mr', 'congratul', 'congression', 'today', 'second', 'rise', 'twenty', 'commun']",20,Congrats
"['offic', 'polic', 'depart', 'fire', 'enforc', 'sheriff', 'chief', 'law', 'counti', 'commun', 'year', 'serv', 'servic', 'safeti', 'deputi']",21,Law Enforcement
"['california', 'san', 'valley', 'mr', 'counti', 'state', 'lo', 'fresno', 'year', 'commun', 'angel', 'tom', 'district', 'riversid', 'program']",22,Unclear
"['farm', 'agricultur', 'kentucki', 'farmer', 'mr', 'food', 'industri', 'famili', 'counti', 'produc', 'year', 'today', 'state', 'bureau', 'land']",23,Agruculture
"['florida', 'hispan', 'central', 'commun', 'month', 'counti', 'orlando', 'honor', 'south', 'puerto', 'recogn', 'heritag', 'mr', 'northwest', 'work']",24,Latino Community
"['cancer', 'research', 'diseas', 'awar', 'children', 'autism', 'treatment', 'medic', 'health', 'today', 'nation', 'american', 'mr', 'support', 'year']",25,Healthcare
"['st', 'john', 'illinoi', 'chicago', 'cathol', 'joe', 'commun', 'year', 'parish', 'father', 'th', 'sister', 'paul', 'church', 'today']",26,Religion
"['award', 'state', 'mr', 'iowa', 'nation', 'honor', 'program', 'repres', 'unit', 'congratul', 'commun', 'recogn', 'receiv', 'effort', 'servic']",27,Congrats
"['th', 'celebr', 'anniversari', 'new', 'year', 'today', 'town', 'commun', 'citi', 'mr', 'histori', 'park', 'continu', 'histor', 'home']",28,Congrats
"['award', 'commun', 'chamber', 'mr', 'busi', 'recogn', 'year', 'honor', 'commerc', 'recipi', 'receiv', 'counti', 'main', 'west', 'congratul']",29,Congrats
"['marin', 'honor', 'sergeant', 'action', 'medal', 'enemi', 'unit', 'mr', 'armi', 'soldier', 'corp', 'wound', 'first', 'today', 'fire']",30,Defense
"['busi', 'compani', 'small', 'industri', 'chamber', 'manufactur', 'bank', 'commun', 'commerc', 'product', 'job', 'year', 'econom', 'success', 'famili']",31,Business
"['serv', 'board', 'presid', 'member', 'commun', 'associ', 'counti', 'committe', 'director', 'elect', 'also', 'servic', 'state', 'council', 'award']",32,Congrats
"['law', 'court', 'judg', 'legal', 'justic', 'attorney', 'state', 'rabbi', 'practic', 'bar', 'patent', 'case', 'associ', 'lawyer', 'suprem']",33,Law
"['us', 'state', 'unit', 'taiwan', 'intern', 'american', 'presid', 'trade', 'countri', 'world', 'island', 'foreign', 'china', 'nation']",34,Trade
"['commun', 'program', 'servic', 'provid', 'educ', 'organ', 'center', 'develop', 'help', 'famili', 'children', 'need', 'hous', 'assist', 'support']",35,Education
"['israel', 'nuclear', 'jewish', 'iran', 'state', 'unit', 'world', 'peopl', 'rabbi', 'intern', 'presid', 'mr', 'weapon', 'must', 'today']",36,Security
"['citi', 'mayor', 'john', 'commun', 'council', 'colorado', 'public', 'serv', 'servic', 'park', 'resid', 'town', 'villag', 'year', 'tom']",37,Unclear
"['american', 'african', 'right', 'black', 'civil', 'king', 'first', 'alabama', 'nation', 'martin', 'histori', 'equal', 'histor', 'jone', 'movement']",38,African Am Community
"['dr', 'univers', 'colleg', 'educ', 'state', 'degre', 'graduat', 'student', 'award', 'school', 'research', 'serv', 'presid', 'honor', 'year']",39,Education
"['job', 'health', 'american', 'care', 'work', 'insur', 'worker', 'republican', 'fund', 'hous', 'law', 'budget', 'obamacar', 'cut', 'plan']",40,Healthcare
"['feder', 'state', 'govern', 'bank', 'requir', 'act', 'tax', 'financi', 'would', 'regul', 'report', 'law', 'new', 'credit', 'secur']",41,Budget
"['air', 'forc', 'gener', 'militari', 'colonel', 'nation', 'command', 'aviat', 'base', 'unit', 'pilot', 'train', 'fli', 'oper', 'navi']",42,Defense
"['victim', 'human', 'violenc', 'women', 'children', 'traffick', 'abus', 'sexual', 'crime', 'mr', 'prevent', 'nation', 'justic', 'child', 'domest']",43,Human Rights
"['war', 'mr', 'world', 'american', 'bob', 'serv', 'us', 'island', 'servic', 'immigr', 'countri', 'honor', 'guam', 'armi']",44,Defense
