t2,cos_sim,t1
m10k_t1,0.99999999999999856,m10k_t1
m10k_t2,0.085546124022844131,m10k_t1
m10k_t3,0.053348724968070749,m10k_t1
m10k_t4,0.05135384508634537,m10k_t1
m10k_t5,0.040133528685628889,m10k_t1
m10k_t6,0.11855181209458336,m10k_t1
m10k_t7,0.060418429272965903,m10k_t1
m10k_t8,0.088351272028253144,m10k_t1
m10k_t9,0.1647992999610173,m10k_t1
m10k_t10,0.19206611028897139,m10k_t1
m15k_t11,0.35852961955380647,m10k_t1
m15k_t12,0.19178073634238441,m10k_t1
m15k_t13,0.1654488028757895,m10k_t1
m15k_t14,0.041014711429806956,m10k_t1
m15k_t15,0.53758558748631646,m10k_t1
m15k_t16,0.10147732647058107,m10k_t1
m15k_t17,0.12803467508726249,m10k_t1
m15k_t18,0.092057771285771695,m10k_t1
m15k_t19,0.099933922879354153,m10k_t1
m15k_t20,0.20881043842354435,m10k_t1
m15k_t21,0.04657988315326831,m10k_t1
m15k_t22,0.04792667602377456,m10k_t1
m15k_t23,0.075901564900048832,m10k_t1
m15k_t24,0.13507541465591802,m10k_t1
m15k_t25,0.12883000843020714,m10k_t1
m10k_t1,0.085546124022844131,m10k_t2
m10k_t2,0.99999999999999978,m10k_t2
m10k_t3,0.20604764523470823,m10k_t2
m10k_t4,0.059073682571754639,m10k_t2
m10k_t5,0.1257137489859137,m10k_t2
m10k_t6,0.029726057512712283,m10k_t2
m10k_t7,0.11915810031605147,m10k_t2
m10k_t8,0.027540326376833752,m10k_t2
m10k_t9,0.13803300750379277,m10k_t2
m10k_t10,0.14955463395407476,m10k_t2
m15k_t11,0.32238096422078549,m10k_t2
m15k_t12,0.12384432627386395,m10k_t2
m15k_t13,0.18068432326950903,m10k_t2
m15k_t14,0.39650265562798348,m10k_t2
m15k_t15,0.079912540455869888,m10k_t2
m15k_t16,0.37739346528571083,m10k_t2
m15k_t17,0.2155581881324693,m10k_t2
m15k_t18,0.13058087380810249,m10k_t2
m15k_t19,0.18683562726458472,m10k_t2
m15k_t20,0.11460753140722119,m10k_t2
m15k_t21,0.13904792592456613,m10k_t2
m15k_t22,0.12831629925990332,m10k_t2
m15k_t23,0.048240796630314893,m10k_t2
m15k_t24,0.0059628564341029748,m10k_t2
m15k_t25,0.11119727908981532,m10k_t2
m10k_t1,0.053348724968070749,m10k_t3
m10k_t2,0.20604764523470823,m10k_t3
m10k_t3,1.0000000000000002,m10k_t3
m10k_t4,0.032385608263396995,m10k_t3
m10k_t5,0.11119223133138971,m10k_t3
m10k_t6,0.17614969989540319,m10k_t3
m10k_t7,0.032116830950783784,m10k_t3
m10k_t8,0.0085450415932083711,m10k_t3
m10k_t9,0.17043124906774754,m10k_t3
m10k_t10,0.092420458519346715,m10k_t3
m15k_t11,0.23271192072363156,m10k_t3
m15k_t12,0.15560063308542391,m10k_t3
m15k_t13,0.61153481620303141,m10k_t3
m15k_t14,0.42659782799486617,m10k_t3
m15k_t15,0.099422472193110595,m10k_t3
m15k_t16,0.11507940071528146,m10k_t3
m15k_t17,0.17144037279301189,m10k_t3
m15k_t18,0.076325966022196268,m10k_t3
m15k_t19,0.086227704167206307,m10k_t3
m15k_t20,0.53482701284423262,m10k_t3
m15k_t21,0.079848682128161666,m10k_t3
m15k_t22,0.046232655199901149,m10k_t3
m15k_t23,0.033743328339625303,m10k_t3
m15k_t24,0.010179025664745156,m10k_t3
m15k_t25,0.18840731262450888,m10k_t3
m10k_t1,0.05135384508634537,m10k_t4
m10k_t2,0.059073682571754639,m10k_t4
m10k_t3,0.032385608263396995,m10k_t4
m10k_t4,1.0000000000000009,m10k_t4
m10k_t5,0.28186676820910622,m10k_t4
m10k_t6,0.022230621937936464,m10k_t4
m10k_t7,0.042377479256824363,m10k_t4
m10k_t8,0.003328419502710431,m10k_t4
m10k_t9,0.02582459561197438,m10k_t4
m10k_t10,0.040732929225692882,m10k_t4
m15k_t11,0.02574359656529307,m10k_t4
m15k_t12,0.0066781116080070965,m10k_t4
m15k_t13,0.008014888102375696,m10k_t4
m15k_t14,0.013818853587230926,m10k_t4
m15k_t15,0.069610364815076001,m10k_t4
m15k_t16,0.041604622267830856,m10k_t4
m15k_t17,0.088484188945376907,m10k_t4
m15k_t18,0.038354723808728231,m10k_t4
m15k_t19,0.1016965664759277,m10k_t4
m15k_t20,0.04769963189979376,m10k_t4
m15k_t21,0.03260676292442282,m10k_t4
m15k_t22,0.91816223979188472,m10k_t4
m15k_t23,0.22320181742319051,m10k_t4
m15k_t24,0.012906437173800642,m10k_t4
m15k_t25,0.06485239247350541,m10k_t4
m10k_t1,0.040133528685628889,m10k_t5
m10k_t2,0.1257137489859137,m10k_t5
m10k_t3,0.11119223133138971,m10k_t5
m10k_t4,0.28186676820910622,m10k_t5
m10k_t5,1.0000000000000004,m10k_t5
m10k_t6,0.020307944504680764,m10k_t5
m10k_t7,0.14106580823285628,m10k_t5
m10k_t8,0.01299640249287946,m10k_t5
m10k_t9,0.085502461117129641,m10k_t5
m10k_t10,0.092980485333788998,m10k_t5
m15k_t11,0.30362084128807859,m10k_t5
m15k_t12,0.004266905561238505,m10k_t5
m15k_t13,0.062685722601332261,m10k_t5
m15k_t14,0.05422626386443756,m10k_t5
m15k_t15,0.071064928433497598,m10k_t5
m15k_t16,0.050098075492060024,m10k_t5
m15k_t17,0.081628484786119976,m10k_t5
m15k_t18,0.289506928047783,m10k_t5
m15k_t19,0.15336462537990261,m10k_t5
m15k_t20,0.052251145580650298,m10k_t5
m15k_t21,0.082296973378323396,m10k_t5
m15k_t22,0.26967499760214275,m10k_t5
m15k_t23,0.64579255899405763,m10k_t5
m15k_t24,0.013395504687292174,m10k_t5
m15k_t25,0.073031070318030744,m10k_t5
m10k_t1,0.11855181209458336,m10k_t6
m10k_t2,0.029726057512712283,m10k_t6
m10k_t3,0.17614969989540319,m10k_t6
m10k_t4,0.022230621937936464,m10k_t6
m10k_t5,0.020307944504680764,m10k_t6
m10k_t6,0.99999999999999978,m10k_t6
m10k_t7,0.02165504995209129,m10k_t6
m10k_t8,0.013339447819247331,m10k_t6
m10k_t9,0.16508547183517625,m10k_t6
m10k_t10,0.058618805162609783,m10k_t6
m15k_t11,0.027171156353100377,m10k_t6
m15k_t12,0.38167462688971571,m10k_t6
m15k_t13,0.12654602200499898,m10k_t6
m15k_t14,0.10196297170014368,m10k_t6
m15k_t15,0.135167855079419,m10k_t6
m15k_t16,0.11072884151315884,m10k_t6
m15k_t17,0.17154675083529181,m10k_t6
m15k_t18,0.077412171881151182,m10k_t6
m15k_t19,0.093560888175826806,m10k_t6
m15k_t20,0.14844273169608813,m10k_t6
m15k_t21,0.17050763147042833,m10k_t6
m15k_t22,0.01429188747441501,m10k_t6
m15k_t23,0.012717976015479821,m10k_t6
m15k_t24,0.36705807214945207,m10k_t6
m15k_t25,0.36260546246968123,m10k_t6
m10k_t1,0.060418429272965903,m10k_t7
m10k_t2,0.11915810031605147,m10k_t7
m10k_t3,0.032116830950783784,m10k_t7
