topic,keywords,issue
0,"['mr', 'hero', 'help', 'red', 'american']",Defense
1,"['new', 'th', 'anniversari', 'celebr', 'home']",Unclear
2,"['mr', 'bob', 'michigan', 'work', 'year']",Unclear
3,"['nation', 'day', 'mr', 'th', 'washington']",Unclear
4,"['william', 'jone', 'john', 'smith', 'michael']",Unclear
5,"['texa', 'district', 'congratul', 'mr', 'congression']",Congrats
6,"['florida', 'mr', 'year', 'guam', 'south']",Unclear
7,"['award', 'state', 'iowa', 'mr', 'nation']",Congrats
8,"['law', 'state', 'court', 'judg', 'right']",Courts and Law
9,"['veteran', 'servic', 'mr', 'serv', 'war']",Defense
10,"['energi', 'water', 'develop', 'project', 'nation']",Resources
11,"['life', 'famili', 'friend', 'love', 'commun']",Family
12,"['busi', 'commun', 'leader', 'forti', 'record']",Congrats
13,"['counti', 'serv', 'commun', 'citi', 'board']",Unclear
14,"['work', 'job', 'cut', 'american', 'budget']",Labor
15,"['cancer', 'children', 'diseas', 'awar', 'treatment']",Healthcare
16,"['florida', 'commun', 'hispan', 'central', 'month']",Latino Community
17,"['mrs', 'mr', 'children', 'year', 'work']",Unclear
18,"['river', 'lake', 'land', 'nation', 'park']",Resources
19,"['team', 'coach', 'state', 'championship', 'school']",Congrats
20,"['st', 'illinoi', 'chicago', 'cathol', 'year']",Religion
21,"['scout', 'eagl', 'rank', 'boy', 'project']",Congrats
22,"['servic', 'mr', 'serv', 'work', 'director']",Congrats
23,"['school', 'student', 'educ', 'high', 'teacher']",Education
24,"['women', 'ms', 'lo', 'equal', 'woman']",Gender
25,"['california', 'farm', 'san', 'valley', 'agricultur']",Agriculture
26,"['dr', 'research', 'scienc', 'univers', 'nation']",Education
27,"['famili', 'mr', 'life', 'commun', 'today']",Family
28,"['children', 'victim', 'human', 'violenc', 'child']",Human Rights
29,"['american', 'right', 'first', 'histori', 'civil']",History
30,"['feder', 'tax', 'credit', 'financi', 'regul']",Budget
31,"['work', 'award', 'hard', 'dedic', 'youth']",Congrats
32,"['univers', 'colleg', 'educ', 'school', 'state']",Education
33,"['new', 'york', 'art', 'music', 'mr']",Arts
34,"['health', 'care', 'medic', 'provid', 'hospit']",Healthcare
35,"['american', 'mississippi', 'mr', 'african', 'black']",African Am Community
36,"['offic', 'depart', 'polic', 'fire', 'chief']",Law Enforcement
37,"['bill', 'act', 'support', 'legisl', 'mr']",Congress
38,"['honor', 'marin', 'sergeant', 'medal', 'war']",Defense
39,"['servic', 'air', 'armi', 'forc', 'unit']",Defense
40,"['mr', 'year', 'servic', 'north', 'carolina']",Unclear
41,"['church', 'pastor', 'baptist', 'reverend', 'commun']",Religion
42,"['busi', 'compani', 'industri', 'manufactur', 'job']",Business
43,"['award', 'commun', 'chamber', 'busi', 'year']",Congrats
44,"['peopl', 't', 'n', 'would', 'one']",Unclear
45,"['state', 'world', 'israel', 'peopl', 'unit']",Security
46,"['us', 'unit', 'taiwan', 'island','international']",Trade
47,"['commun', 'program', 'provid', 'servic', 'organ']",Unclear
48,"['govern', 'citizen', 'today', 'american', 'freedom']",Government
49,"['indiana', 'state', 'virginia', 'hoosier', 'serv']",Unclear
